product_id,product_name,category,brand,price,quantity_in_stock,supplier_id,created_date,last_updated,is_active,rating,description
17,BrandA Shampoo 17,Beauty,BrandA,180.65,60,30,2023-01-04 02:00:00,2023-04-04 22:00:00,True,4.6,High quality shampoo from BrandA in beauty category. Product ID: 17
18,BrandB Shampoo 18,Beauty,BrandB,90.76,740,74,2023-09-06 06:00:00,2023-11-14 10:00:00,False,2.0,High quality shampoo from BrandB in beauty category. Product ID: 18
19,BrandG Game 19,Toys,BrandG,37.35,420,60,2023-12-04 13:00:00,2024-01-19 02:00:00,True,3.7,High quality game from BrandG in toys category. Product ID: 19
20,BrandA Sweater 20,Clothing,BrandA,221.18,549,58,2023-02-25 07:00:00,2023-03-21 13:00:00,True,2.7,High quality sweater from BrandA in clothing category. Product ID: 20
21,BrandH Shirt 21,Sports,BrandH,263.6,51,84,2023-02-08 14:00:00,2023-04-19 17:00:00,True,4.9,High quality shirt from BrandH in sports category. Product ID: 21
22,BrandC Cushion 22,Home & Garden,BrandC,150.84,388,1,2023-04-20 12:00:00,2023-04-27 17:00:00,False,2.1,High quality cushion from BrandC in home & garden category. Product ID: 22
23,BrandE Block 23,Toys,BrandE,212.01,158,25,2023-10-12 21:00:00,2024-01-12 12:00:00,False,1.9,High quality block from BrandE in toys category. Product ID: 23
24,BrandA TV 24,Electronics,BrandA,161.47,161,8,2023-10-27 15:00:00,2023-12-31 07:00:00,True,4.4,High quality tv from BrandA in electronics category. Product ID: 24
25,BrandB Jacket 25,Clothing,BrandB,127.09,40,80,2023-10-19 07:00:00,2024-01-02 02:00:00,True,2.7,High quality jacket from BrandB in clothing category. Product ID: 25
26,BrandE Shampoo 26,Beauty,BrandE,204.22,134,86,2023-06-10 07:00:00,2023-07-13 19:00:00,False,2.8,High quality shampoo from BrandE in beauty category. Product ID: 26
27,BrandA Socks 27,Clothing,BrandA,190.14,218,65,2023-10-16 03:00:00,2023-10-25 20:00:00,False,1.5,High quality socks from BrandA in clothing category. Product ID: 27
28,BrandB Shampoo 28,Beauty,BrandB,117.16,309,79,2023-03-22 14:00:00,2023-05-31 12:00:00,True,3.7,High quality shampoo from BrandB in beauty category. Product ID: 28
29,BrandB Shoes 29,Sports,BrandB,86.7,278,37,2023-02-24 23:00:00,2023-05-06 03:00:00,True,3.9,High quality shoes from BrandB in sports category. Product ID: 29
30,BrandE Rug 30,Home & Garden,BrandE,82.83,849,36,2023-01-27 02:00:00,2023-04-18 15:00:00,True,1.0,High quality rug from BrandE in home & garden category. Product ID: 30
31,BrandE Cookbook 31,Books,BrandE,38.36,9,15,2023-10-10 22:00:00,2023-12-04 15:00:00,True,4.8,High quality cookbook from BrandE in books category. Product ID: 31
32,BrandA Mystery 32,Books,BrandA,31.21,315,47,2023-03-17 13:00:00,2023-04-02 14:00:00,True,4.6,High quality mystery from BrandA in books category. Product ID: 32
33,BrandD Table 33,Home & Garden,BrandD,112.57,158,31,2023-10-14 13:00:00,2024-01-02 12:00:00,True,4.9,High quality table from BrandD in home & garden category. Product ID: 33
34,BrandG Novel 34,Books,BrandG,13.07,830,32,2023-06-20 13:00:00,2023-09-14 12:00:00,False,1.6,High quality novel from BrandG in books category. Product ID: 34
35,BrandG T-Shirt 35,Clothing,BrandG,258.99,312,30,2023-04-24 06:00:00,2023-06-21 17:00:00,True,1.1,High quality t-shirt from BrandG in clothing category. Product ID: 35
36,BrandG Tool 36,Home & Garden,BrandG,90.79,521,52,2023-02-05 08:00:00,2023-03-22 04:00:00,False,4.8,High quality tool from BrandG in home & garden category. Product ID: 36
37,BrandE Dress 37,Clothing,BrandE,178.37,444,45,2023-05-16 01:00:00,2023-05-29 20:00:00,False,2.7,High quality dress from BrandE in clothing category. Product ID: 37
38,BrandG Jacket 38,Clothing,BrandG,83.87,947,69,2023-12-29 13:00:00,2023-12-30 05:00:00,True,2.5,High quality jacket from BrandG in clothing category. Product ID: 38
39,BrandF Hat 39,Clothing,BrandF,202.38,316,86,2023-03-05 23:00:00,2023-04-13 15:00:00,False,2.3,High quality hat from BrandF in clothing category. Product ID: 39
40,BrandC Shirt 40,Sports,BrandC,131.93,630,73,2023-07-14 21:00:00,2023-10-18 02:00:00,False,2.6,High quality shirt from BrandC in sports category. Product ID: 40
41,BrandE Camera 41,Electronics,BrandE,459.86,476,57,2023-10-24 19:00:00,2024-01-16 05:00:00,False,3.7,High quality camera from BrandE in electronics category. Product ID: 41
42,BrandC Car 42,Toys,BrandC,92.3,95,97,2023-12-06 20:00:00,2024-02-24 06:00:00,True,3.7,High quality car from BrandC in toys category. Product ID: 42
43,BrandD Lamp 43,Home & Garden,BrandD,17.08,466,54,2023-05-06 15:00:00,2023-07-23 17:00:00,True,3.9,High quality lamp from BrandD in home & garden category. Product ID: 43
44,BrandH Seat Cover 44,Automotive,BrandH,137.11,797,55,2023-12-02 22:00:00,2023-12-03 01:00:00,True,1.7,High quality seat cover from BrandH in automotive category. Product ID: 44
45,BrandA Game 45,Toys,BrandA,276.07,683,68,2023-03-04 14:00:00,2023-03-22 04:00:00,False,4.8,High quality game from BrandA in toys category. Product ID: 45
46,BrandG Robot 46,Toys,BrandG,270.19,860,82,2023-09-01 14:00:00,2023-10-04 21:00:00,False,4.1,High quality robot from BrandG in toys category. Product ID: 46
47,BrandD Ball 47,Toys,BrandD,137.56,343,41,2024-01-01 09:00:00,2024-01-31 17:00:00,True,1.6,High quality ball from BrandD in toys category. Product ID: 47
48,BrandG Lamp 48,Home & Garden,BrandG,214.86,555,60,2023-02-02 13:00:00,2023-03-26 23:00:00,False,1.2,High quality lamp from BrandG in home & garden category. Product ID: 48
49,BrandG Tire 49,Automotive,BrandG,431.23,965,46,2023-10-22 12:00:00,2023-12-22 12:00:00,False,4.0,High quality tire from BrandG in automotive category. Product ID: 49
50,BrandD Mat 50,Automotive,BrandD,125.32,344,86,2023-08-12 15:00:00,2023-08-16 03:00:00,False,3.9,High quality mat from BrandD in automotive category. Product ID: 50
51,BrandC Doll 51,Toys,BrandC,273.01,85,83,2023-10-31 18:00:00,2024-01-23 18:00:00,False,1.5,High quality doll from BrandC in toys category. Product ID: 51
52,BrandC Doll 52,Toys,BrandC,85.45,345,98,2023-06-17 06:00:00,2023-08-14 16:00:00,False,2.1,High quality doll from BrandC in toys category. Product ID: 52
53,BrandE Battery 53,Automotive,BrandE,245.75,665,9,2023-10-04 01:00:00,2023-11-17 08:00:00,True,4.0,High quality battery from BrandE in automotive category. Product ID: 53
54,BrandD Chair 54,Home & Garden,BrandD,190.19,117,73,2023-05-03 04:00:00,2023-07-03 01:00:00,True,2.9,High quality chair from BrandD in home & garden category. Product ID: 54
55,BrandF Shoes 55,Sports,BrandF,185.71,592,4,2023-02-28 05:00:00,2023-04-08 08:00:00,False,3.3,High quality shoes from BrandF in sports category. Product ID: 55
56,BrandG Filter 56,Automotive,BrandG,56.48,713,99,2023-12-20 20:00:00,2024-01-20 23:00:00,False,4.4,High quality filter from BrandG in automotive category. Product ID: 56
57,BrandA Hat 57,Clothing,BrandA,164.5,663,44,2023-12-05 11:00:00,2023-12-14 03:00:00,True,4.4,High quality hat from BrandA in clothing category. Product ID: 57
58,BrandB Block 58,Toys,BrandB,288.63,445,23,2023-11-22 14:00:00,2024-02-20 18:00:00,False,3.5,High quality block from BrandB in toys category. Product ID: 58
59,BrandH Block 59,Toys,BrandH,249.46,850,12,2023-10-31 08:00:00,2023-12-11 15:00:00,False,4.5,High quality block from BrandH in toys category. Product ID: 59
60,BrandH Cushion 60,Home & Garden,BrandH,107.56,217,46,2023-09-11 10:00:00,2023-10-05 01:00:00,False,2.4,High quality cushion from BrandH in home & garden category. Product ID: 60
61,BrandA Shirt 61,Sports,BrandA,34.83,707,61,2023-07-28 15:00:00,2023-10-07 22:00:00,False,2.8,High quality shirt from BrandA in sports category. Product ID: 61
62,BrandB Camera 62,Electronics,BrandB,482.11,595,48,2023-12-21 07:00:00,2024-01-30 04:00:00,False,3.2,High quality camera from BrandB in electronics category. Product ID: 62
63,BrandG Mascara 63,Beauty,BrandG,112.03,236,16,2023-08-21 08:00:00,2023-09-29 16:00:00,True,2.3,High quality mascara from BrandG in beauty category. Product ID: 63
64,BrandD Biography 64,Books,BrandD,38.24,611,37,2023-05-22 23:00:00,2023-08-06 15:00:00,True,4.3,High quality biography from BrandD in books category. Product ID: 64
65,BrandD Bag 65,Sports,BrandD,62.04,280,6,2023-01-08 22:00:00,2023-03-18 02:00:00,True,3.2,High quality bag from BrandD in sports category. Product ID: 65
66,BrandH Textbook 66,Books,BrandH,44.27,451,44,2023-10-21 09:00:00,2023-12-21 00:00:00,True,4.9,High quality textbook from BrandH in books category. Product ID: 66
67,BrandH Racket 67,Sports,BrandH,248.41,644,88,2023-07-25 15:00:00,2023-08-04 09:00:00,True,1.6,High quality racket from BrandH in sports category. Product ID: 67
68,BrandB Shirt 68,Sports,BrandB,44.35,231,100,2023-08-02 19:00:00,2023-10-18 14:00:00,False,2.8,High quality shirt from BrandB in sports category. Product ID: 68
69,BrandE Block 69,Toys,BrandE,98.56,101,98,2023-11-14 01:00:00,2024-02-01 00:00:00,True,3.5,High quality block from BrandE in toys category. Product ID: 69
70,BrandB Shoes 70,Sports,BrandB,79.56,418,58,2023-10-10 02:00:00,2023-10-30 02:00:00,False,2.2,High quality shoes from BrandB in sports category. Product ID: 70
71,BrandE Plant 71,Home & Garden,BrandE,213.87,946,34,2023-08-21 02:00:00,2023-11-16 09:00:00,True,2.7,High quality plant from BrandE in home & garden category. Product ID: 71
72,BrandC Plant 72,Home & Garden,BrandC,249.72,609,96,2023-02-06 01:00:00,2023-02-27 10:00:00,False,2.8,High quality plant from BrandC in home & garden category. Product ID: 72
73,BrandE Block 73,Toys,BrandE,283.38,82,77,2023-09-14 17:00:00,2023-11-17 07:00:00,True,4.6,High quality block from BrandE in toys category. Product ID: 73
74,BrandE Lipstick 74,Beauty,BrandE,36.48,783,87,2023-12-12 18:00:00,2024-02-25 18:00:00,False,3.3,High quality lipstick from BrandE in beauty category. Product ID: 74
75,BrandH History 75,Books,BrandH,46.22,833,63,2023-04-03 18:00:00,2023-05-29 14:00:00,True,2.9,High quality history from BrandH in books category. Product ID: 75
76,BrandF Mirror 76,Automotive,BrandF,341.66,507,37,2023-03-24 10:00:00,2023-05-16 08:00:00,False,4.3,High quality mirror from BrandF in automotive category. Product ID: 76
77,BrandH Laptop 77,Electronics,BrandH,663.31,885,66,2023-06-15 03:00:00,2023-09-21 15:00:00,True,3.6,High quality laptop from BrandH in electronics category. Product ID: 77
78,BrandG Doll 78,Toys,BrandG,64.4,640,57,2023-07-05 19:00:00,2023-10-10 10:00:00,True,1.8,High quality doll from BrandG in toys category. Product ID: 78
79,BrandE History 79,Books,BrandE,44.64,623,31,2023-09-06 03:00:00,2023-09-09 23:00:00,True,2.2,High quality history from BrandE in books category. Product ID: 79
80,BrandG Laptop 80,Electronics,BrandG,488.17,852,20,2023-02-28 14:00:00,2023-03-16 10:00:00,False,4.7,High quality laptop from BrandG in electronics category. Product ID: 80
81,BrandE Bottle 81,Sports,BrandE,252.07,148,50,2023-08-30 07:00:00,2023-10-28 00:00:00,True,4.7,High quality bottle from BrandE in sports category. Product ID: 81
82,BrandB Science Fiction 82,Books,BrandB,39.77,273,1,2023-08-01 10:00:00,2023-11-10 02:00:00,False,3.9,High quality science fiction from BrandB in books category. Product ID: 82
83,BrandC Robot 83,Toys,BrandC,166.19,386,59,2023-06-26 10:00:00,2023-09-05 03:00:00,False,4.5,High quality robot from BrandC in toys category. Product ID: 83
84,BrandG Vase 84,Home & Garden,BrandG,258.24,484,91,2023-07-30 01:00:00,2023-09-09 00:00:00,False,2.5,High quality vase from BrandG in home & garden category. Product ID: 84
85,BrandH Novel 85,Books,BrandH,10.68,102,68,2023-10-30 10:00:00,2023-11-12 00:00:00,False,1.1,High quality novel from BrandH in books category. Product ID: 85
86,BrandG Cookbook 86,Books,BrandG,8.37,407,84,2023-05-16 10:00:00,2023-08-04 08:00:00,True,4.4,High quality cookbook from BrandG in books category. Product ID: 86
87,BrandF Mat 87,Automotive,BrandF,438.74,646,88,2023-01-19 19:00:00,2023-01-28 02:00:00,False,5.0,High quality mat from BrandF in automotive category. Product ID: 87
88,BrandG Jeans 88,Clothing,BrandG,230.51,710,39,2023-12-27 03:00:00,2024-02-21 08:00:00,True,1.2,High quality jeans from BrandG in clothing category. Product ID: 88
89,BrandE TV 89,Electronics,BrandE,780.94,579,88,2023-03-16 07:00:00,2023-05-22 20:00:00,True,1.7,High quality tv from BrandE in electronics category. Product ID: 89
90,BrandG Jacket 90,Clothing,BrandG,154.32,653,33,2023-10-26 04:00:00,2023-11-24 18:00:00,False,2.0,High quality jacket from BrandG in clothing category. Product ID: 90
91,BrandH Camera 91,Electronics,BrandH,1371.34,601,39,2023-03-22 02:00:00,2023-05-17 13:00:00,False,3.8,High quality camera from BrandH in electronics category. Product ID: 91
92,BrandE Game 92,Toys,BrandE,299.82,585,46,2023-09-05 03:00:00,2023-10-05 15:00:00,False,5.0,High quality game from BrandE in toys category. Product ID: 92
93,BrandA Bottle 93,Sports,BrandA,89.6,996,7,2023-10-17 21:00:00,2024-01-25 20:00:00,False,4.3,High quality bottle from BrandA in sports category. Product ID: 93
94,BrandD Bag 94,Sports,BrandD,73.51,773,93,2023-04-08 19:00:00,2023-05-11 16:00:00,True,3.5,High quality bag from BrandD in sports category. Product ID: 94
95,BrandE Watch 95,Electronics,BrandE,115.06,931,38,2023-07-06 23:00:00,2023-07-23 01:00:00,False,4.0,High quality watch from BrandE in electronics category. Product ID: 95
96,BrandD Cookbook 96,Books,BrandD,40.39,850,22,2023-07-07 16:00:00,2023-09-10 00:00:00,False,4.7,High quality cookbook from BrandD in books category. Product ID: 96
97,BrandE Bear 97,Toys,BrandE,243.23,880,87,2023-08-28 02:00:00,2023-09-15 09:00:00,False,4.9,High quality bear from BrandE in toys category. Product ID: 97
98,BrandB Lotion 98,Beauty,BrandB,14.04,688,96,2023-10-02 03:00:00,2023-11-29 14:00:00,False,3.3,High quality lotion from BrandB in beauty category. Product ID: 98
99,BrandB Shampoo 99,Beauty,BrandB,146.73,226,83,2023-11-14 17:00:00,2023-12-26 12:00:00,True,3.5,High quality shampoo from BrandB in beauty category. Product ID: 99
100,BrandE Block 0,Toys,BrandE,43.84,118,13,2023-01-24 01:00:00,2023-03-03 16:00:00,True,4.5,High quality block from BrandE in toys category. Product ID: 100
101,BrandG History 1,Books,BrandG,21.7,760,94,2023-12-23 17:00:00,2024-02-15 11:00:00,True,4.5,High quality history from BrandG in books category. Product ID: 101
102,BrandH Sweater 2,Clothing,BrandH,282.33,222,57,2023-05-24 01:00:00,2023-08-20 12:00:00,False,4.8,High quality sweater from BrandH in clothing category. Product ID: 102
103,BrandB Mascara 3,Beauty,BrandB,167.9,282,25,2023-11-27 11:00:00,2023-12-04 23:00:00,True,4.8,High quality mascara from BrandB in beauty category. Product ID: 103
104,BrandB Game 4,Toys,BrandB,196.09,249,17,2023-11-02 00:00:00,2023-11-08 10:00:00,True,1.3,High quality game from BrandB in toys category. Product ID: 104
105,BrandD Vase 5,Home & Garden,BrandD,105.28,879,19,2023-03-17 19:00:00,2023-03-18 03:00:00,True,3.2,High quality vase from BrandD in home & garden category. Product ID: 105
106,BrandB Novel 6,Books,BrandB,10.93,16,23,2023-07-03 07:00:00,2023-09-16 17:00:00,False,1.2,High quality novel from BrandB in books category. Product ID: 106
107,BrandB Battery 7,Automotive,BrandB,248.6,462,65,2023-07-05 16:00:00,2023-09-18 19:00:00,True,4.8,High quality battery from BrandB in automotive category. Product ID: 107
108,BrandE Watch 8,Electronics,BrandE,1304.51,436,88,2023-01-16 01:00:00,2023-03-18 13:00:00,True,3.0,High quality watch from BrandE in electronics category. Product ID: 108
109,BrandB Car 9,Toys,BrandB,103.41,639,82,2023-03-17 02:00:00,2023-04-02 10:00:00,False,2.5,High quality car from BrandB in toys category. Product ID: 109
110,BrandH Bottle 10,Sports,BrandH,38.76,898,99,2023-12-26 03:00:00,2024-03-18 23:00:00,True,2.7,High quality bottle from BrandH in sports category. Product ID: 110
111,BrandG Tool 11,Home & Garden,BrandG,249.95,320,55,2023-07-24 13:00:00,2023-10-25 16:00:00,False,3.7,High quality tool from BrandG in home & garden category. Product ID: 111
112,BrandC Soap 12,Beauty,BrandC,29.47,762,95,2023-02-13 02:00:00,2023-04-09 05:00:00,False,4.2,High quality soap from BrandC in beauty category. Product ID: 112
113,BrandF Laptop 13,Electronics,BrandF,851.08,991,37,2023-12-07 13:00:00,2024-03-08 14:00:00,False,2.4,High quality laptop from BrandF in electronics category. Product ID: 113
114,BrandC Rug 14,Home & Garden,BrandC,75.03,117,98,2023-02-25 11:00:00,2023-05-07 22:00:00,False,3.3,High quality rug from BrandC in home & garden category. Product ID: 114
115,BrandA Light 15,Automotive,BrandA,33.9,943,44,2023-05-20 22:00:00,2023-08-26 07:00:00,False,1.0,High quality light from BrandA in automotive category. Product ID: 115
116,BrandG Textbook 16,Books,BrandG,11.38,543,28,2023-11-21 00:00:00,2023-12-02 23:00:00,False,2.7,High quality textbook from BrandG in books category. Product ID: 116
117,BrandC Mascara 17,Beauty,BrandC,100.37,904,7,2023-06-16 18:00:00,2023-08-31 20:00:00,True,1.6,High quality mascara from BrandC in beauty category. Product ID: 117
118,BrandB Camera 18,Electronics,BrandB,914.07,424,35,2023-08-06 15:00:00,2023-10-23 05:00:00,True,4.0,High quality camera from BrandB in electronics category. Product ID: 118
119,BrandF Sweater 19,Clothing,BrandF,42.16,539,86,2023-12-14 21:00:00,2024-02-28 12:00:00,False,1.2,High quality sweater from BrandF in clothing category. Product ID: 119
120,BrandA Tire 20,Automotive,BrandA,118.12,296,42,2023-04-19 04:00:00,2023-07-25 12:00:00,True,1.0,High quality tire from BrandA in automotive category. Product ID: 120
121,BrandC Oil 21,Automotive,BrandC,202.5,853,86,2023-12-27 07:00:00,2024-03-01 00:00:00,False,1.3,High quality oil from BrandC in automotive category. Product ID: 121
122,BrandG Smartphone 22,Electronics,BrandG,946.52,587,52,2023-02-09 10:00:00,2023-04-23 23:00:00,False,2.2,High quality smartphone from BrandG in electronics category. Product ID: 122
123,BrandA Mirror 23,Automotive,BrandA,102.5,90,56,2023-11-13 14:00:00,2024-02-10 01:00:00,True,2.0,High quality mirror from BrandA in automotive category. Product ID: 123
124,BrandB Seat Cover 24,Automotive,BrandB,437.85,78,66,2023-06-23 07:00:00,2023-08-04 12:00:00,True,3.1,High quality seat cover from BrandB in automotive category. Product ID: 124
125,BrandF Tool 25,Home & Garden,BrandF,220.94,149,33,2023-11-27 04:00:00,2023-12-27 07:00:00,True,1.7,High quality tool from BrandF in home & garden category. Product ID: 125
126,BrandB Cookbook 26,Books,BrandB,47.81,778,75,2023-11-18 15:00:00,2024-01-17 09:00:00,False,3.7,High quality cookbook from BrandB in books category. Product ID: 126
127,BrandF Perfume 27,Beauty,BrandF,137.53,815,36,2023-08-29 14:00:00,2023-11-17 23:00:00,True,2.4,High quality perfume from BrandF in beauty category. Product ID: 127
128,BrandE Socks 28,Clothing,BrandE,141.06,660,12,2023-01-30 11:00:00,2023-03-07 13:00:00,False,2.9,High quality socks from BrandE in clothing category. Product ID: 128
129,BrandH Headphones 29,Electronics,BrandH,676.98,461,14,2023-09-01 16:00:00,2023-09-20 17:00:00,False,4.9,High quality headphones from BrandH in electronics category. Product ID: 129
130,BrandC T-Shirt 30,Clothing,BrandC,81.85,624,21,2023-08-13 14:00:00,2023-10-20 06:00:00,False,2.5,High quality t-shirt from BrandC in clothing category. Product ID: 130
131,BrandG Bottle 31,Sports,BrandG,234.59,662,43,2023-12-14 19:00:00,2023-12-21 15:00:00,True,2.3,High quality bottle from BrandG in sports category. Product ID: 131
132,BrandE Light 32,Automotive,BrandE,367.39,83,75,2023-12-03 19:00:00,2023-12-23 05:00:00,True,4.7,High quality light from BrandE in automotive category. Product ID: 132
133,BrandG Shoes 33,Sports,BrandG,182.56,658,43,2023-02-13 09:00:00,2023-04-25 21:00:00,True,3.7,High quality shoes from BrandG in sports category. Product ID: 133
134,BrandG Hat 34,Clothing,BrandG,15.29,970,99,2023-06-08 05:00:00,2023-07-05 15:00:00,False,1.8,High quality hat from BrandG in clothing category. Product ID: 134
135,BrandC Textbook 35,Books,BrandC,18.31,855,95,2023-02-21 16:00:00,2023-05-31 09:00:00,True,3.6,High quality textbook from BrandC in books category. Product ID: 135
136,BrandG Cookbook 36,Books,BrandG,12.3,448,6,2023-12-21 19:00:00,2024-01-12 18:00:00,False,2.5,High quality cookbook from BrandG in books category. Product ID: 136
137,BrandH Plant 37,Home & Garden,BrandH,228.19,316,61,2023-08-18 07:00:00,2023-10-25 14:00:00,True,2.5,High quality plant from BrandH in home & garden category. Product ID: 137
138,BrandH Ball 38,Toys,BrandH,235.66,836,26,2023-09-15 16:00:00,2023-11-07 21:00:00,True,4.5,High quality ball from BrandH in toys category. Product ID: 138
139,BrandH TV 39,Electronics,BrandH,1131.35,291,11,2023-02-22 22:00:00,2023-04-30 01:00:00,True,2.1,High quality tv from BrandH in electronics category. Product ID: 139
140,BrandG Textbook 40,Books,BrandG,47.59,424,7,2023-04-24 14:00:00,2023-06-07 14:00:00,False,3.0,High quality textbook from BrandG in books category. Product ID: 140
141,BrandG Table 41,Home & Garden,BrandG,118.72,665,43,2023-01-15 10:00:00,2023-01-28 08:00:00,True,1.6,High quality table from BrandG in home & garden category. Product ID: 141
142,BrandH Shoes 42,Sports,BrandH,230.06,927,11,2023-08-29 14:00:00,2023-11-15 14:00:00,True,2.0,High quality shoes from BrandH in sports category. Product ID: 142
143,BrandG Textbook 43,Books,BrandG,39.93,244,54,2023-05-02 09:00:00,2023-05-17 10:00:00,False,1.3,High quality textbook from BrandG in books category. Product ID: 143
144,BrandA Game 44,Toys,BrandA,218.38,361,31,2023-05-30 13:00:00,2023-05-31 08:00:00,False,1.7,High quality game from BrandA in toys category. Product ID: 144
145,BrandF Jeans 45,Clothing,BrandF,286.49,567,3,2023-10-06 16:00:00,2024-01-15 08:00:00,False,4.5,High quality jeans from BrandF in clothing category. Product ID: 145
146,BrandG TV 46,Electronics,BrandG,544.62,353,31,2023-01-09 11:00:00,2023-04-19 13:00:00,True,4.1,High quality tv from BrandG in electronics category. Product ID: 146
147,BrandC Lipstick 47,Beauty,BrandC,112.17,475,90,2023-06-23 20:00:00,2023-07-16 17:00:00,False,3.5,High quality lipstick from BrandC in beauty category. Product ID: 147
148,BrandB History 48,Books,BrandB,6.66,323,40,2023-04-14 01:00:00,2023-05-09 02:00:00,False,5.0,High quality history from BrandB in books category. Product ID: 148
149,BrandE Doll 49,Toys,BrandE,228.45,886,84,2023-04-08 09:00:00,2023-05-23 10:00:00,False,2.1,High quality doll from BrandE in toys category. Product ID: 149
150,BrandG Lotion 50,Beauty,BrandG,225.56,708,64,2023-07-17 10:00:00,2023-08-10 01:00:00,False,4.7,High quality lotion from BrandG in beauty category. Product ID: 150
151,BrandB Bottle 51,Sports,BrandB,32.89,328,14,2023-11-05 05:00:00,2024-01-13 14:00:00,True,2.3,High quality bottle from BrandB in sports category. Product ID: 151
152,BrandE Gloves 52,Sports,BrandE,184.76,359,58,2023-08-07 05:00:00,2023-11-03 19:00:00,True,3.9,High quality gloves from BrandE in sports category. Product ID: 152
153,BrandG Cream 53,Beauty,BrandG,195.45,415,47,2023-01-30 02:00:00,2023-04-25 22:00:00,True,4.8,High quality cream from BrandG in beauty category. Product ID: 153
154,BrandH Novel 54,Books,BrandH,10.68,392,73,2023-05-01 20:00:00,2023-06-17 07:00:00,True,3.4,High quality novel from BrandH in books category. Product ID: 154
155,BrandF Bear 55,Toys,BrandF,138.74,375,51,2023-02-09 18:00:00,2023-02-27 10:00:00,False,3.6,High quality bear from BrandF in toys category. Product ID: 155
156,BrandB Chair 56,Home & Garden,BrandB,223.35,120,34,2023-09-13 16:00:00,2023-11-02 09:00:00,False,3.8,High quality chair from BrandB in home & garden category. Product ID: 156
157,BrandE Rug 57,Home & Garden,BrandE,68.05,920,92,2023-03-11 02:00:00,2023-05-07 07:00:00,False,5.0,High quality rug from BrandE in home & garden category. Product ID: 157
158,BrandF Foundation 58,Beauty,BrandF,169.5,726,90,2023-05-29 09:00:00,2023-06-19 07:00:00,True,4.2,High quality foundation from BrandF in beauty category. Product ID: 158
159,BrandB Vase 59,Home & Garden,BrandB,239.7,567,74,2023-05-02 15:00:00,2023-05-06 02:00:00,False,2.9,High quality vase from BrandB in home & garden category. Product ID: 159
160,BrandB Textbook 60,Books,BrandB,18.92,843,74,2023-09-03 16:00:00,2023-10-26 05:00:00,True,1.5,High quality textbook from BrandB in books category. Product ID: 160
161,BrandB Soap 61,Beauty,BrandB,145.09,655,76,2023-09-22 11:00:00,2023-10-09 04:00:00,True,4.1,High quality soap from BrandB in beauty category. Product ID: 161
